%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1771787230348417758,0.715931123529678,0.0,0.0,0.0,0.0,0.0566951464837981
1771787230365198850,0.7021859046637027,0.0,0.0,0.0,0.0,0.052255556739090686
1771787230381958723,0.6887042752864653,0.0,0.0,0.0,0.0,0.0481634591509107
1771787230398624658,0.6754816788466438,0.0,0.0,0.0,0.0,0.04439192657657858
1771787230415231943,0.6625129849307124,0.0,0.0,0.0,0.0,0.040916151896888464
1771787230431844711,0.6497924890651577,0.0,0.0,0.0,0.0,0.037713161761642765
1771787230448488473,0.6373167700987074,0.0,0.0,0.0,0.0,0.03475965693193197
1771787230465170621,0.6250806969480712,0.0,0.0,0.0,0.0,0.03203804340589215
1771787230481915950,0.6130791303837396,0.0,0.0,0.0,0.0,0.029528865115339115
1771787230498520374,0.6013080786501015,0.0,0.0,0.0,0.0,0.02721610934687848
1771787230515154838,0.5897629782867102,0.0,0.0,0.0,0.0,0.02508585722022448
1771787230531909465,0.5784398294079434,0.0,0.0,0.0,0.0,0.02312149414106885
1771787230548608541,0.5673340661431142,0.0,0.0,0.0,0.0,0.021311312847205978
1771787230565214395,0.5564411169256802,0.0,0.0,0.0,0.0,0.019642074111741917
1771787230581747770,0.5457575574720965,0.0,0.0,0.0,0.0,0.018103350996040157
1771787230598535060,0.5352788194958681,0.0,0.0,0.0,0.0,0.016686296285474918
1771787230615192174,0.5250014730313712,0.0,0.0,0.0,0.0,0.015379762296055768
1771787230631744861,0.5149215191014268,0.0,0.0,0.0,0.0,0.014175568112492966
1771787230648506879,0.5050349558160995,0.0,0.0,0.0,0.0,0.013064886746263625
1771787230665388584,0.4951489203817268,0.0,0.0,0.0,0.0,0.011938054038887494
1771787230681957721,0.47594503014588996,0.0,0.0,0.0,0.0,0.009946846516887493
1771787230698473453,0.4668068916992897,0.0,0.0,0.0,0.0,0.009166752310073134
1771787230715120077,0.45784442957288146,0.0,0.0,0.0,0.0,0.008449809999002696
1771787230731913805,0.4490536361066414,0.0,0.0,0.0,0.0,0.007788256704953464
1771787230748486518,0.44043222593568726,0.0,0.0,0.0,0.0,0.007178437232706669
1771787230765126705,0.43197562237883436,0.0,0.0,0.0,0.0,0.0066158376218126355
1771787230781866550,0.42368154010879266,0.0,0.0,0.0,0.0,0.0060978432709264535
1771787230798542499,0.4155471186993942,0.0,0.0,0.0,0.0,0.005620328538814563
1771787230815266370,0.40756835358172333,0.0,0.0,0.0,0.0,0.005179978995417785
1771787230831854820,0.39974295946610366,0.0,0.0,0.0,0.0,0.004775495328937528
1771787230848623275,0.3920680729043174,0.0,0.0,0.0,0.0,0.004401663928694614
1771787230865267515,0.3845402614213402,0.0,0.0,0.0,0.0,0.004056087986552874
1771787230881882905,0.37715723974867077,0.0,0.0,0.0,0.0,0.0037385910923030327
1771787230898634433,0.36991614444629634,0.0,0.0,0.0,0.0,0.0034447378398893835
1771787230915191650,0.3628135461080899,0.0,0.0,0.0,0.0,0.003175351807391015
1771787230931851148,0.355847728502699,0.0,0.0,0.0,0.0,0.0029284089412558514
1771787230948575973,0.3490152530632585,0.0,0.0,0.0,0.0,0.0026978239235568094
1771787230965299367,0.3423138375998143,0.0,0.0,0.0,0.0,0.0024874046071425918
1771787230981995582,0.3357417628271513,0.0,0.0,0.0,0.0,0.0022931316945446825
1771787230998786926,0.32929559323647467,0.0,0.0,0.0,0.0,0.002111900723157388
1771787231015329122,0.3229730466503137,0.0,0.0,0.0,0.0,0.0019483024331803586
1771787231031847953,0.31677182864885917,0.0,0.0,0.0,0.0,0.001796116512929026
1771787231048774957,0.3106896509338995,0.0,0.0,0.0,0.0,0.0016549077802026357
1771787231065458774,0.3046080422367938,0.0,0.0,0.0,0.0,0.0015118758067081753
1771787231081886768,0.2927939366564953,0.0,0.0,0.0,0.0,0.0012577304827025848
1771787231098539829,0.2871724771474121,0.0,0.0,0.0,0.0,0.001161097422434157
1771787231114988565,0.2816586103180873,0.0,0.0,0.0,0.0,0.0010682322186527718
1771787231131639480,0.2762511981531915,0.0,0.0,0.0,0.0,0.0009851710691470145
1771787231148236989,0.2709468051474431,0.0,0.0,0.0,0.0,0.0009094683653495805
1771787231164988517,0.2657448561597254,0.0,0.0,0.0,0.0,0.0008373865180369769
1771787231181710243,0.2606424938917343,0.0,0.0,0.0,0.0,0.0007730707379902044
1771787231199014902,0.2556379959881072,0.0,0.0,0.0,0.0,0.0007099543218651722
1771787231215394020,0.2507296523658139,0.0,0.0,0.0,0.0,0.0006553179546553781
1771787231231923341,0.24591574373784808,0.0,0.0,0.0,0.0,0.0006059071267289079
1771787231248529195,0.24119397874341575,0.0,0.0,0.0,0.0,0.0005588541372135367
1771787231265265703,0.2365632132362036,0.0,0.0,0.0,0.0,0.0005144138959972955
1771787231281922101,0.2320211589244614,0.0,0.0,0.0,0.0,0.000473462842328444
1771787231298543930,0.22756667166238803,0.0,0.0,0.0,0.0,0.0004362684805315903
1771787231315218687,0.22319746008872396,0.0,0.0,0.0,0.0,0.00039991750612189403
1771787231331906080,0.21891181105483856,0.0,0.0,0.0,0.0,0.00036910303923738674
1771787231348518371,0.21470857734512974,0.0,0.0,0.0,0.0,0.0003400916415576341
1771787231365253925,0.21058604274113685,0.0,0.0,0.0,0.0,0.0003136661988110065
1771787231381802558,0.20654306309731463,0.0,0.0,0.0,0.0,0.000290298365393335
1771787231398596286,0.2025773470520101,0.0,0.0,0.0,0.0,0.00026691703710465114
1771787231415202379,0.19868775353037502,0.0,0.0,0.0,0.0,0.00024845423308893916
1771787231431996345,0.19487313224526834,0.0,0.0,0.0,0.0,0.0002265417859289437
1771787231448593139,0.19113177312024732,0.0,0.0,0.0,0.0,0.0002113246124116966
1771787231465280771,0.1874619537952139,0.0,0.0,0.0,0.0,0.00019445771471202078
1771787231481762886,0.18019271079963037,0.0,0.0,0.0,0.0,0.00016005690368550013
1771787231498494148,0.17673293736350384,0.0,0.0,0.0,0.0,0.0001459327354636497
1771787231515110969,0.17334013021688086,0.0,0.0,0.0,0.0,0.0001379230135552939
1771787231531946659,0.17001199492632083,0.0,0.0,0.0,0.0,0.0001273413845599078
1771787231548511743,0.1667473873463377,0.0,0.0,0.0,0.0,0.00011512645047734305
1771787231565326929,0.1635457384757517,0.0,0.0,0.0,0.0,0.0001069735799498206
